4	0.6351	5	0.7314	5	0.7784	[0, 2, 1, 3, 4]	[1, 7, 0, 10, 11, 9]	[2, 0, 1, 5, 7, 12]	100	5
4	0.5905	5	0.6768	5	0.744	[0, 2, 1, 3, 4]	[1, 7, 0, 10, 11, 9]	[2, 0, 1, 5, 7, 12]	100	10
4	0.5482	5	0.6254	5	0.7109	[0, 2, 1, 3, 4]	[1, 7, 0, 10, 11, 9]	[2, 0, 1, 5, 7, 12]	100	15
4	0.5081	5	0.577	5	0.6789	[0, 2, 1, 3, 4]	[1, 7, 0, 10, 11, 9]	[2, 0, 1, 5, 7, 12]	100	20
4	0.4702	5	0.5315	5	0.6481	[0, 2, 1, 3, 4]	[1, 7, 0, 10, 11, 9]	[2, 0, 1, 5, 7, 12]	100	25
5	0.5709	7	0.6352	6	0.7385	[0, 2, 1, 3, 4, 6]	[1, 7, 0, 10, 11, 9, 5, 13]	[2, 0, 1, 5, 12, 7, 9]	120	5
5	0.5241	7	0.5716	6	0.6975	[0, 2, 1, 3, 4, 6]	[1, 7, 0, 10, 11, 9, 5, 13]	[2, 0, 1, 5, 12, 7, 9]	120	10
5	0.4805	7	0.5134	6	0.6584	[0, 2, 1, 3, 4, 6]	[1, 7, 0, 10, 11, 9, 5, 13]	[2, 0, 1, 5, 12, 7, 9]	120	15
5	0.4397	7	0.4603	6	0.6212	[0, 2, 1, 3, 4, 6]	[1, 7, 0, 10, 11, 9, 5, 13]	[2, 0, 1, 5, 12, 7, 9]	120	20
5	0.4016	7	0.4118	6	0.5857	[0, 2, 1, 3, 4, 6]	[1, 7, 0, 10, 11, 9, 5, 13]	[2, 0, 1, 5, 12, 7, 9]	120	25
6	0.4795	8	0.585	7	0.6318	[0, 2, 1, 3, 4, 6, 8]	[1, 7, 0, 10, 11, 9, 5, 13, 8]	[0, 1, 2, 3, 7, 5, 12, 9]	140	5
6	0.4349	8	0.5213	7	0.575	[0, 2, 1, 3, 4, 6, 8]	[1, 7, 0, 10, 11, 9, 5, 13, 8]	[0, 1, 2, 3, 7, 5, 12, 9]	140	10
6	0.3938	8	0.4635	7	0.5274	[0, 2, 1, 3, 4, 6, 8]	[1, 7, 0, 10, 11, 9, 5, 13, 8]	[2, 0, 1, 5, 3, 7, 12, 9]	140	15
6	0.3559	8	0.4114	7	0.4874	[0, 2, 1, 3, 4, 6, 8]	[1, 7, 0, 10, 11, 9, 5, 13, 8]	[2, 0, 1, 5, 3, 7, 12, 9]	140	20
6	0.3211	8	0.3644	7	0.45	[0, 2, 1, 3, 4, 6, 8]	[1, 7, 0, 10, 11, 9, 5, 13, 8]	[2, 0, 1, 5, 3, 7, 12, 9]	140	25
7	0.4122	9	0.5336	8	0.5471	[0, 2, 1, 3, 4, 6, 8, 13]	[1, 7, 0, 10, 11, 9, 5, 13, 8, 2]	[0, 1, 2, 3, 7, 5, 4, 12, 9]	160	5
7	0.3694	9	0.4713	8	0.4899	[0, 2, 1, 3, 4, 6, 8, 13]	[1, 7, 0, 10, 11, 9, 5, 13, 8, 2]	[0, 1, 2, 3, 7, 5, 4, 12, 9]	160	10
7	0.3304	9	0.4154	8	0.4397	[0, 2, 1, 3, 4, 6, 8, 13]	[1, 7, 0, 10, 11, 9, 5, 13, 8, 2]	[2, 0, 1, 5, 3, 7, 4, 12, 9]	160	15
7	0.2949	9	0.3654	8	0.4005	[0, 2, 1, 3, 4, 6, 8, 13]	[1, 7, 0, 10, 11, 9, 5, 13, 8, 2]	[2, 0, 1, 5, 3, 7, 4, 12, 9]	160	20
7	0.2627	9	0.3208	8	0.3643	[0, 2, 1, 3, 4, 6, 8, 13]	[1, 7, 0, 10, 11, 9, 5, 13, 8, 2]	[2, 0, 1, 5, 3, 7, 4, 12, 9]	160	25
8	0.3845	10	0.4738	9	0.5089	[0, 2, 1, 3, 4, 6, 8, 13, 12]	[1, 7, 0, 10, 11, 9, 5, 13, 8, 2, 6]	[1, 0, 2, 7, 3, 5, 6, 10, 12, 9]	180	5
8	0.3419	10	0.4081	9	0.4453	[0, 2, 1, 3, 4, 6, 8, 13, 12]	[1, 7, 0, 10, 11, 9, 5, 13, 8, 2, 6]	[1, 0, 2, 7, 3, 5, 6, 10, 12, 9]	180	10
8	0.3035	10	0.3506	9	0.3977	[0, 2, 1, 3, 4, 6, 8, 13, 12]	[1, 7, 0, 10, 11, 9, 5, 13, 8, 2, 6]	[2, 0, 1, 5, 3, 7, 4, 9, 12, 10]	180	15
8	0.2688	10	0.3004	9	0.3562	[0, 2, 1, 3, 4, 6, 8, 13, 12]	[1, 7, 0, 10, 11, 9, 5, 13, 8, 2, 6]	[2, 0, 1, 5, 3, 7, 4, 9, 12, 10]	180	20
8	0.2376	10	0.2566	9	0.3185	[0, 2, 1, 3, 4, 6, 8, 13, 12]	[1, 7, 0, 10, 11, 9, 5, 13, 8, 2, 6]	[2, 0, 1, 5, 3, 7, 4, 9, 12, 10]	180	25
9	0.352	11	0.4238	10	0.4606	[0, 2, 1, 3, 4, 6, 8, 13, 12, 10]	[1, 7, 0, 10, 11, 9, 5, 13, 8, 2, 6, 12]	[2, 0, 1, 5, 3, 7, 4, 9, 12, 10, 13]	200	5
9	0.3081	11	0.3587	10	0.4105	[0, 2, 1, 3, 4, 6, 8, 13, 12, 10]	[1, 7, 0, 10, 11, 9, 5, 13, 8, 2, 6, 12]	[2, 0, 1, 5, 3, 7, 4, 9, 12, 10, 13]	200	10
9	0.269	11	0.3027	10	0.3654	[0, 2, 1, 3, 4, 6, 8, 13, 12, 10]	[1, 7, 0, 10, 11, 9, 5, 13, 8, 2, 6, 12]	[2, 0, 1, 5, 3, 7, 4, 9, 12, 10, 13]	200	15
9	0.2344	11	0.2547	10	0.3246	[0, 2, 1, 3, 4, 6, 8, 13, 12, 10]	[1, 7, 0, 10, 11, 9, 5, 13, 8, 2, 6, 12]	[2, 0, 1, 5, 3, 7, 4, 9, 12, 10, 13]	200	20
9	0.2037	11	0.2136	10	0.288	[0, 2, 1, 3, 4, 6, 8, 13, 12, 10]	[1, 7, 0, 10, 11, 9, 5, 13, 8, 2, 6, 12]	[2, 0, 1, 5, 3, 7, 4, 9, 12, 10, 13]	200	25
3	0.7145	4	0.7452	3	0.7992	[11, 10, 7, 8]	[2, 0, 5, 9, 1]	[11, 10, 12, 7]	100	5
3	0.6862	4	0.712	3	0.7693	[11, 10, 7, 8]	[2, 0, 5, 9, 1]	[11, 10, 12, 7]	100	10
3	0.6586	4	0.68	3	0.74	[11, 10, 7, 8]	[2, 0, 5, 9, 1]	[11, 10, 12, 7]	100	15
3	0.6317	4	0.6491	3	0.7114	[11, 10, 7, 8]	[2, 0, 5, 9, 1]	[11, 10, 12, 7]	100	20
3	0.6055	4	0.6192	3	0.6834	[11, 10, 7, 8]	[2, 0, 5, 9, 1]	[11, 10, 12, 7]	100	25
3	0.7145	5	0.6668	3	0.7203	[11, 10, 7, 8]	[2, 0, 5, 9, 1, 10]	[11, 8, 10, 12]	120	5
3	0.6862	5	0.6264	3	0.6901	[11, 10, 7, 8]	[2, 0, 5, 9, 1, 10]	[11, 8, 10, 12]	120	10
3	0.6586	5	0.5879	3	0.6607	[11, 10, 7, 8]	[2, 0, 5, 9, 1, 10]	[11, 8, 10, 12]	120	15
3	0.6317	5	0.5513	3	0.6322	[11, 10, 7, 8]	[2, 0, 5, 9, 1, 10]	[11, 8, 10, 12]	120	20
3	0.6055	5	0.5165	3	0.6044	[11, 10, 7, 8]	[2, 0, 5, 9, 1, 10]	[11, 8, 10, 12]	120	25
4	0.6042	5	0.6668	4	0.718	[11, 10, 7, 8, 1]	[2, 0, 5, 9, 1, 10]	[10, 7, 9, 5, 2]	140	5
4	0.5704	5	0.6264	4	0.6818	[11, 10, 7, 8, 1]	[2, 0, 5, 9, 1, 10]	[10, 7, 9, 5, 2]	140	10
4	0.5381	5	0.5879	4	0.647	[11, 10, 7, 8, 1]	[2, 0, 5, 9, 1, 10]	[10, 7, 9, 5, 2]	140	15
4	0.507	5	0.5513	4	0.6135	[11, 10, 7, 8, 1]	[2, 0, 5, 9, 1, 10]	[10, 7, 9, 5, 2]	140	20
4	0.4773	5	0.5165	4	0.5812	[11, 10, 7, 8, 1]	[2, 0, 5, 9, 1, 10]	[10, 7, 9, 5, 2]	140	25
5	0.5742	6	0.5948	5	0.6516	[11, 10, 7, 8, 1, 12]	[2, 0, 5, 9, 1, 10, 11]	[10, 7, 9, 11, 12, 6]	160	5
5	0.5367	6	0.5475	5	0.6068	[11, 10, 7, 8, 1, 12]	[2, 0, 5, 9, 1, 10, 11]	[11, 8, 10, 12, 3, 7]	160	10
5	0.501	6	0.5033	5	0.5703	[11, 10, 7, 8, 1, 12]	[2, 0, 5, 9, 1, 10, 11]	[11, 8, 10, 12, 3, 7]	160	15
5	0.4673	6	0.4621	5	0.5356	[11, 10, 7, 8, 1, 12]	[2, 0, 5, 9, 1, 10, 11]	[11, 8, 10, 12, 3, 7]	160	20
